plate_map_name	well_position	broad_sample	mg_per_ml	mmoles_per_liter	solvent
C-7210-01-CMP-013	J12	BRD-K31476763-001-01-5	2.727665	5.0	DMSO
C-7210-01-CMP-013	J13	BRD-K61918008-001-07-1	1.5965539999999996	5.0	DMSO
C-7210-01-CMP-013	J14				DMSO
C-7210-01-CMP-013	J15	BRD-K09295674-001-09-8	1.006	5.0	DMSO
C-7210-01-CMP-013	J16	BRD-K25311561-001-10-7	1.977475	5.0	DMSO
C-7210-01-CMP-013	J17	BRD-K24696047-001-02-3	2.1977605	5.0	DMSO
C-7210-01-CMP-013	J18	BRD-K78692225-001-24-5	1.3510365	5.0	DMSO
C-7210-01-CMP-013	J19				DMSO
C-7210-01-CMP-013	J20	BRD-K03406345-001-21-1	1.2210235	5.0	DMSO
C-7210-01-CMP-013	J21	BRD-K03601870-001-01-2	2.53349	5.0	DMSO
C-7210-01-CMP-013	J22	BRD-K66430217-001-03-8	1.6909450000000001	5.0	DMSO
C-7210-01-CMP-013	J23				DMSO
C-7210-01-CMP-013	J24	BRD-K02554563-001-01-6	2.563345	5.0	DMSO
C-7210-01-CMP-013	K01	BRD-K59831625-001-03-9	2.032412	5.0	DMSO
C-7210-01-CMP-013	K02	BRD-K55567017-001-12-3	1.3413205	5.0	DMSO
C-7210-01-CMP-013	K03	BRD-K07762753-001-05-1	2.019545	5.0	DMSO
C-7210-01-CMP-013	K04	BRD-K53972329-001-01-3	1.531825	5.0	DMSO
C-7210-01-CMP-013	K05				DMSO
C-7210-01-CMP-013	K06				DMSO
C-7210-01-CMP-013	K07	BRD-K16810791-001-01-0	1.9822225	5.0	DMSO
C-7210-01-CMP-013	K08	BRD-K43236057-001-07-1	1.9519195	5.0	DMSO
C-7210-01-CMP-013	K09	BRD-A51831848-001-01-7	0.92246	5.0	DMSO
C-7210-01-CMP-013	K10	BRD-K13094524-001-04-2	1.736945	5.0	DMSO
C-7210-01-CMP-013	K11	BRD-K86525559-001-07-8	1.81211	5.0	DMSO
C-7210-01-CMP-013	K12	BRD-K16761703-001-03-8	2.192406	5.0	DMSO
C-7210-01-CMP-013	K13				DMSO
C-7210-01-CMP-013	K14	BRD-K36055864-001-20-0	1.406737	5.0	DMSO
C-7210-01-CMP-013	K15	BRD-K25243230-001-01-2	5.035935	5.0	DMSO
C-7210-01-CMP-013	K16				DMSO
C-7210-01-CMP-013	K17	BRD-K00259736-001-16-4	1.997185	5.0	DMSO
C-7210-01-CMP-013	K18	BRD-K04210847-001-21-9	1.93757	5.0	DMSO
C-7210-01-CMP-013	K19				DMSO
C-7210-01-CMP-013	K20	BRD-K33882852-003-02-8	2.134465	5.0	DMSO
C-7210-01-CMP-013	K21	BRD-K20986415-001-02-6	2.7281635	5.0	DMSO
C-7210-01-CMP-013	K22	BRD-K87691185-001-01-2	1.63924	5.0	DMSO
C-7210-01-CMP-013	K23	BRD-K56740996-001-02-1	1.7985149999999996	5.0	DMSO
C-7210-01-CMP-013	K24	BRD-K99616396-316-05-3	2.8472065	5.0	DMSO
C-7210-01-CMP-013	L01	BRD-K43570081-001-02-4	2.8031795	5.0	DMSO
C-7210-01-CMP-013	L02				DMSO
C-7210-01-CMP-013	L03	BRD-K32292990-001-03-6	1.8266645	5.0	DMSO
C-7210-01-CMP-013	L04	BRD-K45293975-001-02-0	2.412652	5.0	DMSO
C-7210-01-CMP-013	L05				DMSO
C-7210-01-CMP-013	L06				DMSO
